uni_id,uni_name,UNITID,prog_name,prog_application,prog_longevity_score,prog_commit_score,prog_support_score,prog_website_score,prog_feedback_web,prog_orientaion,prog_tech_score,prog_risk_score,prog_year-type,prog_feature,CITY,STABBR,ZIP,SECTOR,ICLEVEL,CONTROL,INSTSIZE,CARNEGIEIC,CARNEGIESAEC,CARNEGIESIZE,LOCALE,CBSA,CBSATYPE,C21BASIC,LATITUDE,LONGITUD,COUNTYNM,COUNTYCD,uni_total_enrollment,uni_total_nonresident_enrollment,uni_total_nonresident_pct,uni_undergrad_enrollment,uni_undergrad_nonresident_enrollment,uni_undergrad_nonresident_pct,uni_graduate_enrollment,uni_graduate_nonresident_enrollment,uni_graduate_nonresident_pct,IC2025,RPU_Flag,Primarily_Associate_Flag,CBSA_FIPS,CBSA_Name,Pell_PCT,UnderRepMinority_PCT_22_23,Access_Ratio,Access_Geo_Flag,8Yr_MedEarnings,SAECCompEarnings,Earnings_Ratio,SAEC25
U11,Washington and Lee University,234207,Friendship Family program,Google Form,,3.0,3,3,1,0,3,2,,"Campus Calender, Handbook",Lexington,VA,24450-2116,2,1,2,2,8,5,2,32,-2,-2,21,37.788939,-79.443018,Lexington City,51678,2241,174,7.764390896921017,1886.0,158.0,8.377518557794273,355.0,16.0,4.507042253521127,Mixed Undergraduate/Graduate-Doctorate Small,0,0,-2,Virginia -- Not in metropolitan statistical area,0.1109,0.1802,0.45,,89772.0,40246.57233643538,2.23,"Lower Access, Higher Earnings"
U12,Whitman College,237057,Friendship Family program,Google Fom,2.0,3.0,3,3,1,0,2,2,1.0,relaunched in 2021,Walla Walla,WA,99362,2,1,2,2,22,3,2,13,47460,1,21,46.069815,-118.331546,Walla Walla County,53071,1561,220,14.093529788597053,1561.0,220.0,14.093529788597053,,,,Special Focus: Arts and Sciences,0,0,47460,"Walla Walla, WA",0.1489,0.2261,0.64,,60428.0,40963.0789885325,1.48,"Lower Access, Medium Earnings"
U13,University of Idaho,142285,International Friendship Family program,Qualtrics,,3.0,4,3,1,1,3,4,1.0,Very strong Handbook and Agreement Form,Moscow,ID,83844-2282,1,1,1,4,7,4,3,32,34140,2,16,46.727406,-117.014167,Latah County,16057,12286,830,6.755656845189646,9574.0,539.0,5.629830791727596,2712.0,291.0,10.730088495575222,Mixed Undergraduate/Graduate-Doctorate Medium,1,0,34140,"Moscow, ID",0.312,0.1858,1.11,,49092.0,34638.47384427677,1.42,"Higher Access, Medium Earnings"
U14,Binghamton University,196079,Friendship Family program,Google Form,3.0,1.0,2,3,1,0,2,2,0.0,continue relationship across applocation,Vestal,NY,13850-6000,1,1,1,4,6,5,4,22,13780,1,15,42.087868,-75.966889,Broome County,36007,18816,2048,10.884353741496598,14669.0,591.0,4.028904492467107,4147.0,1457.0,35.13383168555582,Mixed Undergraduate/Graduate-Doctorate Large,0,0,13780,"Binghamton, NY",0.2748,0.2325,0.77,,73402.0,42520.01620381111,1.73,"Lower Access, Higher Earnings"
U15,University of Southern Indiana,151306,USI Friendship Family program,Qualtrics,1.0,3.0,3,3,1,1,3,3,,"Culture Shock Information , Handbook and Google Form",Evansville,IN,47712,1,1,1,3,19,3,3,22,21780,1,18,37.962374,-87.677214,Vanderburgh County,18163,9488,128,1.3490725126475547,7600.0,86.0,1.1315789473684212,1888.0,42.0,2.2245762711864407,Professions-focused Undergraduate/Graduate-Master's Large/Medium,1,0,21780,"Evansville, IN",0.2967,0.1223,0.93,,45868.0,37370.749299300405,1.23,"Lower Access, Medium Earnings"
U16,University of South Carolina Aiken,218645,Friendship Family program,Micosoft Form,,,3,3,1,0,2,3,,Microsoft form,Aiken,SC,29801,1,1,1,2,19,4,3,21,12260,1,20,33.572704,-81.767612,Aiken County,45003,4022,81,2.013923421183491,3289.0,60.0,1.8242626938279112,733.0,21.0,2.8649386084583903,Professions-focused Undergraduate/Graduate-Master's Large/Medium,1,0,12260,"Augusta-Richmond County, GA-SC",0.4121,0.3698,1.0,,43669.0,32060.131725673178,1.36,"Higher Access, Medium Earnings"
U17,Oregon State University,209542,International Friendship program,Qualtrics,4.0,3.0,3,4,4,1,4,4,1.0,remote participation,Corvallis,OR,97331,1,1,1,5,6,5,4,13,18700,1,15,44.56395,-123.274723,Benton County,41003,37163,2197,5.91179398864462,31253.0,962.0,3.078104501967811,5910.0,1235.0,20.896785109983078,Mixed Undergraduate/Graduate-Doctorate Large,0,0,18700,"Corvallis, OR",0.2274,0.2373,0.87,,57210.0,37690.524407573685,1.52,"Lower Access, Higher Earnings"
U18,University of St Thomas,174914,Friendship Family program,Microsoft Form,2.0,3.0,4,4,2,0,3,2,1.0,Strong Steps informatio,Saint Paul,MN,55105-1078,2,1,2,3,7,6,3,11,33460,1,17,44.943439,-93.188986,Ramsey County,27123,9410,487,5.175345377258235,6270.0,236.0,3.7639553429027113,3140.0,251.0,7.993630573248407,Mixed Undergraduate/Graduate-Doctorate Medium,0,0,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0.1968,0.2037,1.09,,70906.0,44511.16530016849,1.59,"Opportunity Colleges and Universities – Higher Access, Higher Earnings"
U18,University of St Thomas,227863,Friendship Family program,Microsoft Form,2.0,3.0,4,4,2,0,3,2,1.0,Strong Steps informatio,Houston,TX,77006-4696,2,1,2,2,17,6,3,11,26420,1,17,29.736438,-95.393102,Harris County,48201,4301,257,5.975354568704953,3365.0,152.0,4.517087667161961,936.0,105.0,11.217948717948719,Professions-focused Undergraduate/Graduate-Doctorate Medium,0,0,26420,"Houston-Pasadena-The Woodlands, TX",0.3975,0.6617,1.23,,56544.0,36080.59258172345,1.57,"Opportunity Colleges and Universities – Higher Access, Higher Earnings"
U19,Augustana University,219000,Friendship Family program,Google Form,3.0,1.0,3,2,1,0,2,2,0.0,Being able to the duration,Sioux Falls,SD,57197-0001,2,1,2,2,20,3,2,12,43620,1,19,43.525148,-96.736975,Minnehaha County,46099,2390,239,10.0,2003.0,225.0,11.233150274588118,387.0,14.0,3.6175710594315245,Professions-focused Undergraduate/Graduate-Master's Small,0,0,43620,"Sioux Falls, SD-MN",0.1663,0.1207,0.65,,53484.0,42752.33885011707,1.25,"Lower Access, Medium Earnings"
U20,University of Memphis,220862,International Tiger Family program,Qualtrics,1.0,1.0,4,3,1,0,2,2,,Peer Program not for local people,Memphis,TN,38152,1,1,1,5,16,4,4,11,32820,1,15,35.118878,-89.938068,Shelby County,47157,20276,1510,7.447228250147958,15770.0,277.0,1.7564996829422954,4506.0,1233.0,27.363515312916114,Professions-focused Undergraduate/Graduate-Doctorate Large,1,0,32820,"Memphis, TN-MS-AR",0.4708,0.5466,1.18,,44264.0,33404.71568959375,1.33,"Higher Access, Medium Earnings"
U21,Case Western Reserve University,201645,International Friendship program,Googlr Form,1.0,3.0,2,3,1,1,3,3,1.0,I can't find the pdf for Hosts,Cleveland,OH,44106,2,1,2,4,7,5,3,11,17410,1,15,41.507419,-81.609596,Cuyahoga County,39035,12475,2040,16.352705410821645,6528.0,749.0,11.473651960784313,5947.0,1291.0,21.708424415671768,Mixed Undergraduate/Graduate-Doctorate Medium,0,0,17410,"Cleveland, OH",0.1734,0.2743,0.71,,77640.0,38249.402269640115,2.03,"Lower Access, Higher Earnings"
U22,University of Oklahoma-Norman Campus,207500,Friends to International Students,,3.0,3.0,3,3,1,0,3,3,0.0,Maybe finised because of covit19,Norman,OK,73019-3072,1,1,1,5,6,5,4,22,36420,1,15,35.209407,-97.444211,Cleveland County,40027,30851,1818,5.892839778289197,23329.0,715.0,3.0648549016245874,7522.0,1103.0,14.663653283701144,Mixed Undergraduate/Graduate-Doctorate Large,0,0,36420,"Oklahoma City, OK",0.2426,0.3318,0.79,,57099.0,34412.95593054006,1.66,"Lower Access, Higher Earnings"
U23,The University of Montana,180489,Missoula International Friendship program,Google Form,4.0,3.0,4,3,1,1,3,2,0.0,Volunteer or Donation,Missoula,MT,59812,1,1,1,4,7,4,3,13,33540,1,15,46.859312,-113.982912,Missoula County,30063,10811,183,1.6927203773933956,7891.0,81.0,1.0264858699784565,2920.0,102.0,3.493150684931507,Mixed Undergraduate/Graduate-Doctorate Medium,1,0,33540,"Missoula, MT",0.2863,0.238,1.21,,40221.0,34079.256442662125,1.18,"Higher Access, Medium Earnings"
U24,University of Arkansas,106397,iFriend – Friendship Family,Microsoft Form,2.0,3.0,3,3,1,1,3,3,1.0,information session and strong matching criteria,Fayetteville,AR,72701,1,1,1,5,16,5,4,12,22220,1,15,36.070009,-94.176981,Washington County,5143,33610,1220,3.6298720618863434,28859.0,363.0,1.257839841990367,4751.0,857.0,18.03830772468954,Professions-focused Undergraduate/Graduate-Doctorate Large,0,0,22220,"Fayetteville-Springdale-Rogers, AR",0.1748,0.2165,0.55,,54333.0,34749.57357335691,1.56,"Lower Access, Higher Earnings"
U25,University of Houston,225511,International Friendship Program,Microsoft Form,4.0,3.0,2,4,1,1,2,3,0.0,,Houston,TX,77204-2018,1,1,1,5,6,6,5,11,26420,1,15,29.720393,-95.343537,Harris County,48201,47980,5015,10.452271779908296,39257.0,2210.0,5.629569248796392,8723.0,2805.0,32.156368221941996,Mixed Undergraduate/Graduate-Doctorate Large,0,0,26420,"Houston-Pasadena-The Woodlands, TX",0.4182,0.5534,1.15,,58739.0,36782.62431022191,1.6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings"
U26,University of North Carolina Wilmington,199218,Friendship Family Program,Microsoft Form,1.0,3.0,3,4,3,0,2,2,0.0,,Wilmington,NC,28403-5963,1,1,1,4,16,3,4,12,48900,1,16,34.225223,-77.875527,New Hanover County,37129,18848,356,1.8887945670628186,15254.0,261.0,1.7110266159695817,3594.0,95.0,2.6432943795214245,Professions-focused Undergraduate/Graduate-Doctorate Large,1,0,48900,"Wilmington, NC",0.2436,0.1752,0.8,,51021.0,37001.18104621975,1.38,"Lower Access, Medium Earnings"
U27,Carson-Newman University,219806,Friendship Family Program,Wufoo,,3.0,2,3,1,1,2,4,1.0,,Jefferson City,TN,37760,2,1,2,2,18,4,2,23,34100,1,17,36.122934,-83.491709,Jefferson County,47089,2669,109,4.083926564256276,1596.0,80.0,5.012531328320802,1073.0,29.0,2.7027027027027026,Professions-focused Undergraduate/Graduate-Doctorate Small,0,0,34100,"Morristown, TN",0.4173,0.2093,1.01,,44452.0,34809.64779392902,1.28,"Higher Access, Medium Earnings"
U28,Missouri State University-West Plains,179344,Host Family Program,Dynamic Form,1.0,2.0,3,3,1,1,2,3,0.0,,West Plains,MO,65775-2715,4,2,1,2,12,6,2,33,48460,2,2,36.729574,-91.857838,Howell County,29091,1919,4,0.20844189682126105,1919.0,4.0,0.20844189682126105,,,,Professions-focused Associate Small,0,1,48460,"West Plains, MO",0.5268,0.0956,1.14,,33978.0,25914.473527389997,1.31,"Opportunity Colleges and Universities – Higher Access, Higher Earnings"
U29,Johnson & Wales University-Providence,217235,Friendship Family Program,Google Form,2.0,2.0,3,3,1,0,2,2,0.0,,Providence,RI,02903-3703,2,1,2,2,19,4,3,12,39300,1,18,41.819956,-71.41277,Providence County,44007,4303,172,3.9972112479665354,3908.0,113.0,2.8915046059365404,395.0,59.0,14.936708860759493,Professions-focused Undergraduate/Graduate-Master's Large/Medium,0,0,39300,"Providence-Warwick, RI-MA",0.3046,0.3247,1.09,,40078.0,39406.79834621014,1.02,"Higher Access, Medium Earnings"
U30,Skidmore College,195526,International Friendship Family Program,PDF,1.0,2.0,3,3,1,0,1,2,2.0,,Saratoga Springs,NY,12866,2,1,2,2,22,3,2,23,10580,1,21,43.097035,-73.785335,Saratoga County,36091,2704,199,7.359467455621302,2704.0,199.0,7.359467455621302,,,,Special Focus: Arts and Sciences,0,0,10580,"Albany-Schenectady-Troy, NY",0.1378,0.2272,0.58,,59421.0,42190.956366680126,1.41,"Lower Access, Medium Earnings"
U31,Lawrence University,239017,Friendship Family Program,Website,3.0,1.0,3,3,1,0,3,2,0.0,,Appleton,WI,54911,2,1,2,2,22,3,2,13,11540,1,21,44.261323,-88.397822,Outagamie County,55087,1417,159,11.22088920254058,1417.0,159.0,11.22088920254058,,,,Special Focus: Arts and Sciences,0,0,11540,"Appleton, WI",0.2098,0.2409,0.82,,48065.0,41488.96829520966,1.16,"Lower Access, Medium Earnings"
